g_id,g_name,members
1,The Rolling Stones,4
2,Radiohead,5
3,Fleetwood Mac,5
4,Arctic Monkeys,4
5,Tame Impala,5
6,Pink Floyd,4
7,The Beatles,4
8,Led Zeppelin,4
9,Nirvana,3
10,Daft Punk,2
11,Kansas,6
12,Guns N' Roses,5
13,U2,4
14,Boston,5
15,Ocean Alley,6
16,Foo Fighters,6
17,Motley Crue,4
18,Eagles,5
19,311,5
20,Steve Miller Band,5
21,Queen,4
22,Nazareth,4
23,Journey,5
24,Incubus,5
25,Sublime,3
26,Pearl Jam,5
27,Weezer,4
28,Mac DeMarco,1
29,Red Hot Chili Peppers,4
30,Daniel Caesar,1
31,Sticky Fingers,5
32,Alice In Chains,4
33,Thundercat,1
34,The Smiths,4
35,Coldplay,4
36,South Summit,4
37,Temple of the Dog,6
38,Empire Of The Sun,2
39,Mac Miller,1
40,Kid Cudi,1
41,The Altons,6
42,Michael Jackson,1
43,Aventura,4
44,Bell Biv DeVoe,3
45,BROCKHAMPTON,6
46,Silk Sonic,2
47,Deftones,4
48,Fall Out Boy,4
49,The Fray,4
50,Outkast,2
