title,r_title,r_contributors,t_num,duration,genre,features
Come Together,Abbey Road,The Beatles,1,259,Rock,
Something,Abbey Road,The Beatles,2,182,Rock,
Here Comes the Sun,Abbey Road,The Beatles,3,185,Rock,
Airbag,OK Computer,Radiohead,1,284,Alternative Rock,
Paranoid Android,OK Computer,Radiohead,2,386,Alternative Rock,
Karma Police,OK Computer,Radiohead,3,263,Alternative Rock,
Dreams,Rumours,Fleetwood Mac,1,257,Soft Rock,
Go Your Own Way,Rumours,Fleetwood Mac,2,222,Rock,
The Chain,Rumours,Fleetwood Mac,3,270,Rock,
Do I Wanna Know?,AM,Arctic Monkeys,1,272,Indie Rock,
R U Mine?,AM,Arctic Monkeys,2,200,Indie Rock,
Why'd You Only Call Me When You're High?,AM,Arctic Monkeys,3,164,Indie Rock,
Let It Happen,Currents,Tame Impala,1,467,Psychedelic Pop,
The Less I Know the Better,Currents,Tame Impala,2,218,Psychedelic Pop,
Eventually,Currents,Tame Impala,3,318,Psychedelic Pop,
Speak to Me,The Dark Side of the Moon,Pink Floyd,1,68,Progressive Rock,
Breathe,The Dark Side of the Moon,Pink Floyd,2,169,Progressive Rock,
Time,The Dark Side of the Moon,Pink Floyd,3,413,Progressive Rock,
Gimme Shelter,Let It Bleed,The Rolling Stones,1,272,Blues Rock,Mary Clayton
Love in Vain,Let It Bleed,The Rolling Stones,2,257,Blues Rock,
You Can't Always Get What You Want,Let It Bleed,The Rolling Stones,3,448,Blues Rock,
Black Dog,Led Zeppelin IV,Led Zeppelin,1,296,Hard Rock,
Rock and Roll,Led Zeppelin IV,Led Zeppelin,2,220,Hard Rock,
Stairway to Heaven,Led Zeppelin IV,Led Zeppelin,3,482,Hard Rock,
Smells Like Teen Spirit,Nevermind,Nirvana,1,301,Grunge,
In Bloom,Nevermind,Nirvana,2,255,Grunge,
Come as You Are,Nevermind,Nirvana,3,219,Grunge,
One More Time,Discovery,Daft Punk,1,320,Electronic,Romanthony
Aerodynamic,Discovery,Daft Punk,2,212,Electronic,
Digital Love,Discovery,Daft Punk,3,301,Electronic,
Give Life Back to Music,Random Access Memories,Daft Punk,1,275,Electronic,Nile Rodgers
Get Lucky,Random Access Memories,Daft Punk,2,369,Disco,Pharrell Williams
Instant Crush,Random Access Memories,Daft Punk,3,337,Electronic,Julian Casablancas
15 Step,In Rainbows,Radiohead,1,237,Alternative Rock,
Bodysnatchers,In Rainbows,Radiohead,2,242,Alternative Rock,
Nude,In Rainbows,Radiohead,3,255,Art Rock,
Brown Sugar,Sticky Fingers,The Rolling Stones,1,229,Rock,
Wild Horses,Sticky Fingers,The Rolling Stones,2,342,Country Rock,
Can't You Hear Me Knocking,Sticky Fingers,The Rolling Stones,3,427,Rock,
Another Brick in the Wall Pt 1,The Wall,Pink Floyd,1,199,Progressive Rock,
Another Brick in the Wall Pt 2,The Wall,Pink Floyd,2,239,Progressive Rock,
Comfortably Numb,The Wall,Pink Floyd,3,382,Progressive Rock,
Star Treatment,Tranquility Base Hotel and Casino,Arctic Monkeys,1,353,Space Pop,
Four Out of Five,Tranquility Base Hotel and Casino,Arctic Monkeys,2,289,Lounge Pop,
She Looks Like Fun,Tranquility Base Hotel and Casino,Arctic Monkeys,3,213,Indie Rock,
Carry On Wayward Son,Carry On Wayward Son,Kansas,1,326,Progressive Rock,
Dust in the Wind,Carry On Wayward Son,Kansas,2,202,Soft Rock,
Welcome to the Jungle,Appetite for Destruction,Guns N' Roses,1,274,Hard Rock,
Sweet Child O' Mine,Appetite for Destruction,Guns N' Roses,2,356,Hard Rock,
Paradise City,Appetite for Destruction,Guns N' Roses,3,405,Hard Rock,
Where the Streets Have No Name,The Joshua Tree,U2,1,336,Rock,
I Still Haven't Found What I'm Looking For,The Joshua Tree,U2,2,296,Rock,
With or Without You,The Joshua Tree,U2,3,296,Rock,
More Than a Feeling,Boston,Boston,1,308,Classic Rock,
Peace of Mind,Boston,Boston,2,305,Classic Rock,
Foreplay/Long Time,Boston,Boston,3,467,Classic Rock,
Confidence,Chiaroscuro,Ocean Alley,1,266,Psychedelic Rock,
Yellow Mellow,Chiaroscuro,Ocean Alley,2,285,Surf Rock,
Knees,Chiaroscuro,Ocean Alley,3,239,Indie Rock,
Everlong,The Colour and the Shape,Foo Fighters,1,250,Alternative Rock,
My Hero,The Colour and the Shape,Foo Fighters,2,260,Alternative Rock,
Monkey Wrench,The Colour and the Shape,Foo Fighters,3,231,Alternative Rock,
Shout at the Devil,Shout at the Devil,Motley Crue,1,217,Glam Metal,
Looks That Kill,Shout at the Devil,Motley Crue,2,240,Glam Metal,
Too Young to Fall in Love,Shout at the Devil,Motley Crue,3,208,Glam Metal,
Hotel California,Hotel California,Eagles,1,391,Classic Rock,
New Kid in Town,Hotel California,Eagles,2,305,Soft Rock,
Life in the Fast Lane,Hotel California,Eagles,3,288,Classic Rock,
Transistor,Transistor,311,1,256,Reggae Rock,
Beautiful Disaster,Transistor,311,2,264,Alternative Rock,
Prisoner,Transistor,311,3,191,Rock,
Fly Like an Eagle,Fly Like an Eagle,Steve Miller Band,1,295,Classic Rock,
Rock'n Me,Fly Like an Eagle,Steve Miller Band,2,206,Classic Rock,
Take the Money and Run,Fly Like an Eagle,Steve Miller Band,3,188,Classic Rock,
Bohemian Rhapsody,A Night at the Opera,Queen,1,355,Progressive Rock,
You're My Best Friend,A Night at the Opera,Queen,2,170,Pop Rock,
Love of My Life,A Night at the Opera,Queen,3,219,Ballad,
Hair of the Dog,Hair of the Dog,Nazareth,1,271,Hard Rock,
Miss Misery,Hair of the Dog,Nazareth,2,232,Hard Rock,
Love Hurts,Hair of the Dog,Nazareth,3,237,Ballad,
Don't Stop Believin',Escape,Journey,1,249,Arena Rock,
Who's Crying Now,Escape,Journey,2,305,Soft Rock,
Stone in Love,Escape,Journey,3,234,Arena Rock,
Wish You Were Here,Morning View,Incubus,1,264,Alternative Rock,
Nice to Know You,Morning View,Incubus,2,230,Alternative Rock,
Warning,Morning View,Incubus,3,351,Alternative Rock,
Badfish,40oz. to Freedom,Sublime,1,231,Ska Punk,
Don't Push,40oz. to Freedom,Sublime,2,171,Reggae Rock,
New Thrash,40oz. to Freedom,Sublime,3,234,Ska Punk,
Alive,Ten,Pearl Jam,1,341,Grunge,
Even Flow,Ten,Pearl Jam,2,293,Grunge,
Black,Ten,Pearl Jam,3,343,Grunge,
Buddy Holly,Blue Album,Weezer,1,160,Power Pop,
Undone,Blue Album,Weezer,2,305,Alternative Rock,
Say It Ain't So,Blue Album,Weezer,3,258,Alternative Rock,
Salad Days,Salad Days,Mac DeMarco,1,194,Indie Rock,
Blue Boy,Salad Days,Mac DeMarco,2,195,Jangle Pop,
Let My Baby Stay,Salad Days,Mac DeMarco,3,179,Indie Pop,
Scar Tissue,Californication,Red Hot Chili Peppers,1,217,Funk Rock,
Otherside,Californication,Red Hot Chili Peppers,2,255,Alternative Rock,
Californication,Californication,Red Hot Chili Peppers,3,330,Funk Rock,
Get You,Freudian,Daniel Caesar,1,243,R&B,Kali Uchis
Best Part,Freudian,Daniel Caesar,2,219,R&B,H.E.R.
Japanese Denim,Freudian,Daniel Caesar,3,203,Soul,
Australia Street,Land of Pleasure,Sticky Fingers,1,274,Indie Rock,
Caress Your Soul,Land of Pleasure,Sticky Fingers,2,236,Reggae Rock,
Gold Snafu,Land of Pleasure,Sticky Fingers,3,250,Indie Rock,
Them Bones,Dirt,Alice In Chains,1,147,Grunge,
Down in a Hole,Dirt,Alice In Chains,2,335,Grunge,
Rooster,Dirt,Alice In Chains,3,372,Grunge,
Them Changes,Drunk,Thundercat,1,199,Funk,
Friend Zone,Drunk,Thundercat,2,248,Jazz Funk,
Show You the Way,Drunk,Thundercat,3,285,R&B,Michael McDonald
There Is a Light That Never Goes Out,The Queen Is Dead,The Smiths,1,256,Indie Rock,
The Boy with the Thorn in His Side,The Queen Is Dead,The Smiths,2,196,Indie Pop,
Bigmouth Strikes Again,The Queen Is Dead,The Smiths,3,195,Indie Rock,
The Scientist,A Rush of Blood to the Head,Coldplay,1,309,Alternative Rock,
Clocks,A Rush of Blood to the Head,Coldplay,2,307,Alternative Rock,
In My Place,A Rush of Blood to the Head,Coldplay,3,229,Alternative Rock,
Wolves,South Summit,South Summit,1,224,Indie Rock,
Golden Hour,South Summit,South Summit,2,198,Indie Pop,
Hunger,Temple of the Dog,Temple of the Dog,1,264,Grunge,Chris Cornell
Say Hello 2 Heaven,Temple of the Dog,Temple of the Dog,2,368,Grunge,Chris Cornell
Walking on a Dream,Walking on a Dream,Empire Of The Sun,1,199,Synth Pop,
We Are the People,Walking on a Dream,Empire Of The Sun,2,284,Synth Pop,
Self Care,Swimming,Mac Miller,1,333,Hip Hop,
Ladders,Swimming,Mac Miller,2,233,Hip Hop,
2009,Swimming,Mac Miller,3,326,Hip Hop,
Day 'N' Nite,Man on the Moon,Kid Cudi,1,233,Hip Hop,
Pursuit of Happiness,Man on the Moon,Kid Cudi,2,295,Hip Hop,MGMT
Solo Dolo,Man on the Moon,Kid Cudi,3,237,Hip Hop,
Soul Flower,In the Aeroplane Over the Sea,The Altons,1,198,Soul,
Tangled,In the Aeroplane Over the Sea,The Altons,2,214,Funk,
Billie Jean,Thriller,Michael Jackson,1,294,Pop,
Beat It,Thriller,Michael Jackson,2,258,Pop Rock,
Thriller,Thriller,Michael Jackson,3,357,Pop,Vincent Price
Obsesion,Obsesion,Aventura,1,271,Bachata,
Cuando Volveras,Obsesion,Aventura,2,256,Bachata,
Poison,Poison,Bell Biv DeVoe,1,267,New Jack Swing,
Do Me,Poison,Bell Biv DeVoe,2,280,New Jack Swing,
STAR,Saturation,BROCKHAMPTON,1,240,Hip Hop,
GOLD,Saturation,BROCKHAMPTON,2,212,Hip Hop,
FACE,Saturation,BROCKHAMPTON,3,195,Hip Hop,
Leave the Door Open,An Evening with Silk Sonic,Silk Sonic,1,242,R&B,
Smokin Out the Window,An Evening with Silk Sonic,Silk Sonic,2,195,Funk,
Skate,An Evening with Silk Sonic,Silk Sonic,3,218,R&B,
Change,White Pony,Deftones,1,315,Alt Metal,
Digital Bath,White Pony,Deftones,2,279,Alt Metal,
Passenger,White Pony,Deftones,3,362,Alt Metal,Maynard James Keenan
Sugar We're Goin Down,From Under the Cork Tree,Fall Out Boy,1,229,Pop Punk,
Dance Dance,From Under the Cork Tree,Fall Out Boy,2,183,Pop Punk,
Thnks fr th Mmrs,From Under the Cork Tree,Fall Out Boy,3,211,Pop Punk,
How to Save a Life,How to Save a Life,The Fray,1,258,Piano Rock,
Over My Head,How to Save a Life,The Fray,2,238,Alternative Rock,
Look After You,How to Save a Life,The Fray,3,236,Piano Rock,
Rosa Parks,Aquemini,Outkast,1,325,Southern Hip Hop,
Aquemini,Aquemini,Outkast,2,307,Southern Hip Hop,
SpottieOttieDopaliscious,Aquemini,Outkast,3,260,Southern Hip Hop,
